model,accuracy,precision,recall,f1,tn,fp,fn,tp
tfidf_mlp,0.8653366583541147,0.8954248366013072,0.7828571428571428,0.8353658536585366,210,16,38,137
tfidf_mlp_t045,0.8628428927680798,0.8846153846153846,0.7885714285714286,0.8338368580060423,208,18,37,138
bilstm,0.8428927680798005,0.8255813953488372,0.8114285714285714,0.8184438040345822,196,30,33,142
textcnn,0.8354114713216958,0.8343558282208589,0.7771428571428571,0.8047337278106509,199,27,39,136
distilbert,0.7955112219451371,0.7924528301886793,0.72,0.7544910179640718,,,,
